game,release,peak_players,positive_reviews,negative_reviews,total_reviews,rating,players_right_now
Kawaii Hentai Girls 2,2022-06-09,21,93,6,99,82.95,0
Hausmeister,2022-10-11,11,66,3,69,82.95,0
Kriegsfront Battlescaper,2022-08-04,11,46,1,47,82.95,0
秋恋物语 Autumn Romance,2022-02-04,12,46,1,47,82.95,0
Rimward Basilisk,2022-12-07,12,46,1,47,82.95,0
长明火计划 Project: Eternal Flame,2022-07-08,30,84,5,89,82.93,0
Grim Quest,2022-04-01,15,84,5,89,82.93,0
Unlock the Feelings,2022-05-06,12,84,5,89,82.93,0
DEATHWATCH,2022-10-21,18,84,5,89,82.93,1
Fishing Paradiso,2022-06-01,101,149,13,162,82.92,1
Springblades,2022-11-25,110,75,4,79,82.92,0
RXC - Rally Cross Challenge,2022-11-22,17,56,2,58,82.91,2
Super Ember Kaboom,2022-06-15,6,56,2,58,82.91,0
瓔珞事件簿之誰殺了愛情,2022-01-31,15,56,2,58,82.91,0
Keplerth,2022-05-24,7526,3114,509,3623,82.9,269
Army of Ruin,2022-10-27,1021,913,130,1043,82.9,73
I got a millenary cat,2022-10-07,240,341,40,381,82.9,13
Chili Con Valley,2022-01-17,10,117,9,126,82.89,0
Crash Bandicoot™ 4: It’s About Time,2022-10-18,454,1013,147,1160,82.87,247
Session: Skate Sim,2022-09-22,1757,8502,1495,9997,82.86,311
Altero,2022-10-17,5,34,0,34,82.85,0
Amberial Dreams,2022-10-18,19,34,0,34,82.85,1
Newton Going Home,2022-01-20,5,34,0,34,82.85,0
Supercow,2022-03-05,6,34,0,34,82.85,3
Lit Up,2022-05-09,6,34,0,34,82.85,0
Amber City,2022-09-01,23,34,0,34,82.85,0
Katydids,2022-06-14,11,34,0,34,82.85,0
Boom Slingers,2022-09-16,10,34,0,34,82.85,0
MopGarden's Veggie Cart,2022-11-30,7,34,0,34,82.85,0
TurnTheLine,2022-04-01,33,83,5,88,82.84,5
Ignited Steel: Prologue,2022-10-14,466,83,5,88,82.84,0
Timemelters,2022-10-12,27,65,3,68,82.84,0
Light & Shadow,2022-11-24,18,124,10,134,82.82,0
Gunborg: Dark Matters,2022-03-04,4,45,1,46,82.82,0
Lapin,2022-11-17,33,91,6,97,82.79,2
Eiyuden Chronicle: Rising,2022-05-10,1163,1249,188,1437,82.78,49
Tetris for Two,2022-01-25,30,241,26,267,82.78,5
Berserk Mode,2022-01-09,15,107,8,115,82.75,0
Superfly,2022-06-18,63,414,52,466,82.74,4
Dexter Stardust : Adventures in Outer Space,2022-03-03,19,64,3,67,82.74,0
Reefland,2022-10-17,22,64,3,67,82.74,0
ガチムチでドスケベな家庭教師のお兄さんと過ごす夏,2022-10-22,80,64,3,67,82.74,0
Darold The Doomer: Psychedelic Lucid Dreams,2022-04-06,6,73,4,77,82.73,1
Gabenwood: 99 Hidden Bucks,2022-11-07,6,73,4,77,82.73,0
Lost and Hound,2022-08-17,8,33,0,33,82.7,0
Fluffy Milo,2022-03-28,6,33,0,33,82.7,0
Infinite Turtles,2022-06-19,11,33,0,33,82.7,1
房间的秘密,2022-07-08,9,33,0,33,82.7,1
Colorful Recolor,2022-08-10,5,33,0,33,82.7,0
Cat Herder,2022-11-03,18,33,0,33,82.7,0
Know by heart...,2022-02-10,255,527,70,597,82.69,0
Secret Summer,2022-07-05,136,273,31,304,82.69,7
RoboCo,2022-11-03,98,98,7,105,82.69,4
start;again,2022-03-31,5,44,1,45,82.69,0
NOX: Chapter 1,2022-12-23,8,44,1,45,82.69,0
Lust Academy,2022-04-12,952,960,141,1101,82.68,72
Boxville,2022-09-30,24,114,9,123,82.68,1
Mokoko X,2022-04-07,32,106,8,114,82.68,0
Pool Slide Story,2022-07-04,104,106,8,114,82.68,2
Froggie,2022-11-04,7,54,2,56,82.68,0
lure,2022-04-08,11,252,28,280,82.67,0
Deluge: Threnody of Crashing Waves,2022-07-08,18,137,12,149,82.66,1
Yomawari: Lost in the Dark,2022-10-25,110,144,13,157,82.63,2
YAKIMOCHI STREAM,2022-01-22,32,105,8,113,82.61,1
Zombie Rollerz: Pinball Heroes,2022-03-02,126,236,26,262,82.59,11
與經紀人戀愛是絕對禁止！,2022-03-23,456,540,73,613,82.58,10
Ukraine War Stories,2022-10-18,86,711,101,812,82.56,2
My Dad Left Me,2022-08-05,6,53,2,55,82.56,0
Father's Day,2022-10-22,53,342,42,384,82.55,7
Solitaire Expeditions,2022-07-23,14,43,1,44,82.55,2
Weeping Falls Massacre,2022-06-16,11,43,1,44,82.55,0
Nekomew's Nightmares,2022-10-28,13,32,0,32,82.55,0
Despot's Game: Dystopian Army Builder,2022-09-29,1463,2186,358,2544,82.54,67
冥婚交友中心《厲鬼的戀愛指南》,2022-02-08,767,575,79,654,82.54,2
Solar Ash,2022-12-08,172,406,52,458,82.54,5
The Infinite Black 2,2022-10-29,53,135,12,147,82.54,29
ABRISS,2022-04-14,213,295,35,330,82.53,0
fault - StP - LIGHTKRAVTE,2022-05-28,101,295,35,330,82.53,1
Relapse,2022-10-12,44,142,13,155,82.51,1
重构,2022-03-29,403,359,45,404,82.48,3
Biters & Bullets: Prologue,2022-07-19,315,233,26,259,82.47,3
Automon,2022-03-04,89,111,9,120,82.47,1
The Backrooms: Survival,2022-03-31,78,804,118,922,82.44,4
Catie in MeowmeowLand,2022-03-31,15,70,4,74,82.44,1
It's Kooky,2022-11-01,23,52,2,54,82.44,0
Haha Doodle,2022-01-25,318,118,10,128,82.42,1
Dead Beacon,2022-11-18,10,61,3,64,82.42,0
reIterate(),2022-01-13,10,42,1,43,82.41,0
NoWayBack无路可退,2022-10-20,52,42,1,43,82.41,0
Automaton Lung,2022-12-16,6,42,1,43,82.41,0
The Archipelago,2022-11-11,971,42,1,43,82.41,0
Polda 3,2022-12-11,32,42,1,43,82.41,3
Sir Whoopass,2022-08-18,600,616,87,703,82.4,9
Brewmaster: Beer Brewing Simulator,2022-09-29,581,573,80,653,82.39,22
White Lavender,2022-06-20,15,110,9,119,82.39,0
The Forest Quartet,2022-12-08,10,78,5,83,82.39,0
Riding Seas,2022-01-31,6,31,0,31,82.39,0
Kalyzmyr,2022-03-11,4,31,0,31,82.39,0
Witchhazel Woods,2022-08-12,4,31,0,31,82.39,0
Pierre's Adventures in French,2022-10-14,6,31,0,31,82.39,1
Extraneum,2022-06-15,5,31,0,31,82.39,0
TTV4,2022-07-07,2,31,0,31,82.39,0
Blossom Tales 2: The Minotaur Prince,2022-08-16,43,86,6,92,82.37,3
FPS Chess,2022-07-16,3142,15180,2861,18041,82.36,580
FixFox,2022-03-31,27,196,21,217,82.35,5
Police Simulator: Patrol Officers,2022-11-10,3330,9899,1833,11732,82.33,446
Sackboy™: A Big Adventure,2022-10-27,610,1329,211,1540,82.32,155
Sandwalkers: The Fourteenth Caravan,2022-10-26,241,256,30,286,82.32,1
Military Conflict: Vietnam,2022-12-16,228,611,87,698,82.31,12
Fidget Spinner RPG,2022-05-02,110,124,11,135,82.31,5
CRAYON SHINCHAN The Storm Called! FLAMING KASUKABE RUNNER!!,2022-10-18,10,51,2,53,82.31,0
Medieval Fantasy Survival Simulator 2 Gladiator Edition,2022-11-07,4,51,2,53,82.31,0
Watch Your Plastic Duck,2022-09-09,17,101,8,109,82.3,1
Flowers -Le volume sur hiver-,2022-06-18,377,421,56,477,82.29,3
DREAM LOGIC,2022-09-06,19,131,12,143,82.29,1
Ruins Of Mitriom,2022-01-11,23,77,5,82,82.29,0
Lights Off!,2022-05-27,50,1246,197,1443,82.28,4
The Golden Rose: Book One,2022-06-02,207,116,10,126,82.28,6
Whateverland,2022-09-15,32,93,7,100,82.28,2
Queen Beast,2022-12-06,14,93,7,100,82.28,0
Zombies and Keys,2022-07-21,3,41,1,42,82.27,0
Dead Man's Rest,2022-03-14,9,41,1,42,82.27,1
Manafinder,2022-10-05,22,41,1,42,82.27,0
Love Death & Veggies,2022-01-07,3,41,1,42,82.27,0
My Big Sister: Remastered,2022-10-25,6,41,1,42,82.27,1
Azure Striker Gunvolt 3,2022-10-13,216,228,26,254,82.26,7
Turbo Golf Racing,2022-08-04,546,376,49,425,82.25,8
Parkour Tag,2022-01-24,61,152,15,167,82.25,5
Security Booth: Director's Cut,2022-08-19,40,123,11,134,82.25,0
Captain Bones,2022-07-27,48,173,18,191,82.24,2
Animal Shelter,2022-03-23,1750,1575,257,1832,82.22,212
Dungeon Village,2022-03-28,288,381,50,431,82.22,22
The Swordbearer,2022-07-04,69,100,8,108,82.22,2
Galaxy Tales: Story of Rapunzel,2022-06-30,4,30,0,30,82.22,0
The Cartomancy Anthology,2022-08-09,13,30,0,30,82.22,0
Astrocat: Milky Way Journey,2022-04-15,6,30,0,30,82.22,0
Dragon Mine,2022-08-17,10,30,0,30,82.22,0
Shiny Ski Resort,2022-11-28,31,30,0,30,82.22,0
Aery VR - Calm Mind,2022-12-19,4,30,0,30,82.22,0
伊格利亚战记,2022-04-13,563,1294,207,1501,82.2,63
Lost In Fantaland,2022-09-26,264,266,32,298,82.2,49
Cartridge Defense,2022-09-03,21,76,5,81,82.2,1
Tales From The Unending Void,2022-05-02,211,259,31,290,82.19,15
Of Blades & Tails,2022-10-19,43,84,6,90,82.19,1
Telepath Tactics Liberated,2022-03-14,32,84,6,90,82.19,3
Life on the Edge,2022-06-17,20,59,3,62,82.19,2
Skator Gator,2022-01-17,5,50,2,52,82.19,0
Numeral Lord,2022-10-15,24,50,2,52,82.19,2
Forgive Me Father,2022-04-07,333,2185,370,2555,82.17,74
Audio Trip,2022-12-19,15,239,28,267,82.17,1
My Gaming Club,2022-12-14,181,452,62,514,82.15,189
EarthRoyale,2022-07-29,33,99,8,107,82.14,5
City Bus Manager,2022-11-10,986,660,97,757,82.13,161
pemsa,2022-04-13,32,114,10,124,82.13,1
Rhapsody: A Musical Adventure,2022-08-30,26,67,4,71,82.12,3
The Rat Plague,2022-11-14,99,67,4,71,82.12,0
My devil's voice,2022-08-30,56,40,1,41,82.12,1
SokoWinter,2022-03-13,7,40,1,41,82.12,0
Twin Cores,2022-09-14,6,40,1,41,82.12,0
Tournament Ark,2022-12-19,36,75,5,80,82.1,2
AGRYOS: Recovering Eden,2022-02-11,12,75,5,80,82.1,0
Repetendium,2022-11-04,176,135,13,148,82.08,27
Pants Quest,2022-03-02,10,58,3,61,82.07,0
Dungeons & Dragons: Krynn Series,2022-03-29,78,58,3,61,82.07,16
What if your girl was a frog?,2022-06-03,10,190,21,211,82.06,0
Cube Racer 2,2022-03-09,92,223,26,249,82.05,10
Curtain Call,2022-04-26,7,49,2,51,82.05,0
A HERO AND A GARDEN,2022-05-05,7,49,2,51,82.05,0
SquishCraft,2022-07-27,26,49,2,51,82.05,0
Solanaceae: After All,2022-10-06,9,29,0,29,82.04,0
Tumblebugs,2022-03-18,12,29,0,29,82.04,5
Pengu Never Left,2022-02-20,3,29,0,29,82.04,0
Hare Apparent,2022-04-04,4,29,0,29,82.04,0
Egglien,2022-08-05,4,29,0,29,82.04,0
东方光耀夜 ~ Lost Branch of Legend,2022-08-18,302,368,49,417,82.03,44
Kayak VR: Mirage,2022-07-12,126,536,77,613,82.02,4
Salt 2,2022-09-20,753,606,89,695,82.01,38
Illusion,2022-03-01,24,105,9,114,82.01,0
Cafeteria Nipponica,2022-07-04,285,105,9,114,82.01,7
Isonzo,2022-09-13,4196,4922,901,5823,81.99,369
Kanjozoku Game レーサー,2022-07-17,622,2413,419,2832,81.99,13
筒楼异事,2022-10-21,62,112,10,122,81.98,0
Slot Shots Pinball Collection,2022-10-18,5,39,1,40,81.97,0
Mystwood Manor,2022-09-30,1898,690,104,794,81.96,100
The Tale of Bistun,2022-07-13,27,140,14,154,81.95,0
Seashell,2022-03-28,6,57,3,60,81.95,0
Kris and the City of Pleasure,2022-09-16,38,57,3,60,81.95,2
Hand Simulator: Rendezvous,2022-11-01,172,601,89,690,81.92,5
The Inheritance of Crimson Manor,2022-05-05,66,290,37,327,81.92,2
Toy Tanks,2022-05-12,10,48,2,50,81.92,0
UuultraC,2022-03-24,27,48,2,50,81.92,2
Grand Prix Story,2022-10-11,123,48,2,50,81.92,7
Miss Kawaii 3,2022-12-02,15,48,2,50,81.92,0
Aliens vs. Ghosts,2022-07-06,62,180,20,200,81.9,5
Dawn of the Monsters,2022-03-15,24,81,6,87,81.9,0
The Creature of Chaos,2022-03-14,6,81,6,87,81.9,0
Biomisland,2022-10-15,33,81,6,87,81.9,0
Dream Team Basketball,2022-12-12,27,81,6,87,81.9,3
Trifox,2022-10-14,17,73,5,78,81.89,0
Astral Slider,2022-03-10,20,73,5,78,81.89,0
For Mother Matron,2022-10-17,15,73,5,78,81.89,0
tERRORbane,2022-04-01,196,232,28,260,81.88,7
Ubaste,2022-09-27,12,96,8,104,81.88,0
Ghost Song,2022-11-03,685,656,99,755,81.87,5
This is a Ghost,2022-12-09,119,225,27,252,81.86,8
Beers and Boomerangs,2022-11-22,6,28,0,28,81.86,0
Kitten Burst,2022-09-02,7,28,0,28,81.86,0
Go! Go! PogoGirl,2022-01-26,7,28,0,28,81.86,0
Platypus Adventures,2022-07-07,6,28,0,28,81.86,0
Retro Kart Rush,2022-03-10,5,28,0,28,81.86,0
Triga,2022-05-19,8,28,0,28,81.86,0
TPORT,2022-07-13,4,28,0,28,81.86,0
妖与夜的幻想,2022-03-23,3,28,0,28,81.86,0
Arrival of Beasts,2022-05-13,10,28,0,28,81.86,0
Chess Pills,2022-06-16,3,28,0,28,81.86,0
Fishing Game,2022-08-25,5,28,0,28,81.86,0
Hermit Home Designer,2022-09-15,4,28,0,28,81.86,2
Signal & Echo: Iris is Missing (demo),2022-11-02,5,28,0,28,81.86,0
Idle Research,2022-08-01,4787,881,139,1020,81.85,210
Brigandine The Legend of Runersia,2022-05-11,1547,654,99,753,81.84,47
Portal Dungeon,2022-12-15,1332,445,63,508,81.84,259
猎魔战纪,2022-05-25,116,145,15,160,81.83,9
猎魔战纪,2022-05-25,116,145,15,160,81.83,0
猎魔战纪,2020-03-21,6,3,4,7,46.68,9
猎魔战纪,2020-03-21,6,3,4,7,46.68,0
Defending Lydia Collier,2022-12-14,38,38,1,39,81.81,4
Eremidia - Archivist's Curse,2022-08-15,16,38,1,39,81.81,0
Spellbook Demonslayers,2022-11-02,944,754,117,871,81.8,27
佩尔霍宁,2022-06-08,17,158,17,175,81.79,0
Escape Academy,2022-07-14,305,466,67,533,81.78,25
白晓,2022-05-03,9,64,4,68,81.78,0
The Rabbit's Scroll,2022-06-25,14,64,4,68,81.78,0
Molytropia: Cloud in Shape of Hurt,2022-12-07,4,64,4,68,81.78,0
Gore Screaming Show,2022-11-12,27,47,2,49,81.78,1
Golf Gang,2022-05-19,684,858,136,994,81.77,34
三国群英志,2022-12-02,34,109,10,119,81.75,7
灵墟,2022-07-08,400,498,73,571,81.71,61
Dark Siren,2022-12-17,17,150,16,166,81.71,4
Block'Em!,2022-09-08,152,79,6,85,81.71,0
东方梦无境 ～ Dreamland of Infinity,2022-11-15,99,79,6,85,81.71,1
Fight of Steel: Infinity Warrior,2022-07-15,46,55,3,58,81.69,2
HoverRace,2022-02-07,13,55,3,58,81.69,0
Five nights at Floppa 0,2022-07-01,4,55,3,58,81.69,0
Makai Kingdom: Reclaimed and Rebound,2022-05-10,135,86,7,93,81.66,8
リトルハーツ,2022-12-02,48,27,0,27,81.66,1
SOKOBOT,2022-03-04,11,27,0,27,81.66,0
Bomb Club Deluxe,2022-03-01,14,27,0,27,81.66,0
SEARCH ALL - CRABS,2022-02-17,3,27,0,27,81.66,0
I Hate You Please Suffer - Basic,2022-04-27,4,27,0,27,81.66,0
Downpurr,2022-06-13,8,27,0,27,81.66,1
PUTRID SHOT ULTRA,2022-11-07,8,27,0,27,81.66,0
Aery - Path of Corruption,2022-12-16,6,27,0,27,81.66,0
Deadly Harvest,2022-10-24,14,27,0,27,81.66,0
ASTRONAUTILUS,2022-03-30,15,37,1,38,81.65,1
TitTok 2,2022-03-07,5,37,1,38,81.65,0
Corn Defenders,2022-04-13,4,37,1,38,81.65,0
I commissioned some bees 2,2022-06-23,10,37,1,38,81.65,2
安科俱乐部,2022-01-15,27,46,2,48,81.63,0
HEROish,2022-12-16,8,46,2,48,81.63,0
SEARCH ALL - SPIDERS,2022-03-01,3,46,2,48,81.63,0
Pixel Samurai,2022-06-16,12,78,6,84,81.61,0
Jitsu Squad,2022-03-29,61,168,19,187,81.6,0
RATUZ,2022-04-22,72,200,24,224,81.59,0
Zapling Bygone,2022-08-05,36,107,10,117,81.59,0
Chambers of Devious Design,2022-09-05,47,70,5,75,81.57,2
Scarlet Tower,2022-10-31,233,727,115,842,81.56,94
Runes of Pandemonium,2022-02-22,14,54,3,57,81.56,2
PongPong Girl,2022-08-17,13,54,3,57,81.56,0
Forward: Escape the Fold - Ultimate Edition,2022-03-29,396,468,69,537,81.55,4
My life as an archeologist,2022-01-10,642,255,33,288,81.54,3
The Backroom - Lost and Found,2022-07-25,24,186,22,208,81.53,5
Dealer's Life 2,2022-02-15,2884,2595,472,3067,81.52,216
Aim Climb,2022-03-19,90,173,20,193,81.52,0
Romancing SaGa -Minstrel Song- Remastered,2022-12-01,2410,160,18,178,81.52,42
NinNinDays2,2022-01-20,65,106,10,116,81.51,0
Smutty Scrolls,2022-09-19,99,77,6,83,81.5,0
An Outcry,2022-01-05,9,77,6,83,81.5,0
Astro Colony,2022-11-07,2751,1009,168,1177,81.48,98
Nyaaaanvy,2022-04-22,55,45,2,47,81.48,2
Mini Gardens - Logic Puzzle,2022-03-22,9,45,2,47,81.48,0
Madcap Mosaic,2022-08-15,25,45,2,47,81.48,0
The Most Awesome Game Ever Made,2022-11-15,6,45,2,47,81.48,0
Hentai BunnyGirl,2022-11-22,5,45,2,47,81.48,0
The Maze,2022-12-08,6,36,1,37,81.47,0
The Maze,2022-12-08,6,36,1,37,81.47,0
The Maze,2022-12-08,6,36,1,37,81.47,0
The Maze,2022-06-07,2,1,0,1,59.42,0
The Maze,2022-06-07,2,1,0,1,59.42,0
The Maze,2022-06-07,2,1,0,1,59.42,0
The Maze,2020-06-13,2,1,1,2,50.0,0
The Maze,2020-06-13,2,1,1,2,50.0,0
The Maze,2020-06-13,2,1,1,2,50.0,0
Garden Guardian,2022-08-10,14,36,1,37,81.47,0
Bullet Hell Monday,2022-09-12,14,36,1,37,81.47,0
Every Day's Different,2022-02-12,9,26,0,26,81.46,0
Falling Out,2022-10-05,14,26,0,26,81.46,0
Very Very Valet,2022-05-26,15,26,0,26,81.46,0
Astronium,2022-02-06,6,26,0,26,81.46,0
Skeleton Scramble Deluxe,2022-03-18,9,26,0,26,81.46,0
Captain Cigarrr,2022-03-04,5,26,0,26,81.46,0
Jigsaw Bestiary,2022-02-21,6,26,0,26,81.46,1
Cupid Kiss,2022-07-22,4,26,0,26,81.46,0
Kid Ball Adventure,2022-09-01,8,26,0,26,81.46,0
Space Turbo 2,2022-05-24,4,26,0,26,81.46,0
Astrocat: Skylar´s Memories,2022-06-17,5,26,0,26,81.46,0
Lost Lands: Sand Captivity,2022-12-09,38,26,0,26,81.46,4
Fabric Of Reality,2022-12-15,8,26,0,26,81.46,0
Check it Out!,2022-04-29,70,389,56,445,81.45,11
My Dream is a Lost Memory,2022-06-19,3,119,12,131,81.45,0
Suhoshin,2022-04-14,29,91,8,99,81.44,0
The Genesis Project,2022-04-13,615,806,131,937,81.43,17
SEX with HITLER 2,2022-12-17,690,165,19,184,81.43,3
Miss Kawaii,2022-09-19,20,98,9,107,81.43,0
完美的一天 / A Perfect Day,2022-02-25,1732,1248,214,1462,81.42,9
Everglow,2022-07-24,11,61,4,65,81.42,0
沃姆斯传说：午夜新娘,2022-08-11,7,61,4,65,81.42,0
Wolves on the Westwind,2022-05-25,38,53,3,56,81.42,2
Lost2,2022-09-30,691,975,163,1138,81.39,25
Orbital Bullet,2022-03-21,131,398,58,456,81.38,5
King Arthur: Knight's Tale,2022-04-26,5376,4005,761,4766,81.37,320
Angry Putin,2022-05-08,6,138,15,153,81.37,0
The Backrooms: Lost Tape,2022-12-24,79,385,56,441,81.34,4
My First Femboy Date,2022-08-25,6,97,9,106,81.34,0
Don't Shit On My #!$@& Roof,2022-09-27,94,97,9,106,81.34,2
h8machine,2022-08-04,10,44,2,46,81.33,0
Heat Death,2022-07-18,32,44,2,46,81.33,0
MAGICAL DEATHPAIR,2022-01-11,7,44,2,46,81.33,0
Hunt for Junk,2022-06-23,10,44,2,46,81.33,0
骸心 Mainbody,2022-11-06,5,44,2,46,81.33,0
Is Simon There?,2022-05-06,16,188,23,211,81.3,1
Wayward Strand,2022-09-15,16,60,4,64,81.3,0
Outshine,2022-11-03,10,35,1,36,81.3,0
Mega Knockdown,2022-07-29,7,35,1,36,81.3,0
Starless,2022-08-25,7,35,1,36,81.3,0
SiNKR 3,2022-08-25,7,35,1,36,81.3,0
Shadow of the Guild,2022-11-10,7,35,1,36,81.3,0
Axolotl is Dry,2022-04-25,9,35,1,36,81.3,0
Kraino Origins,2022-09-03,6,35,1,36,81.3,0
The Robot Girl Meets The Human!,2022-08-19,5,35,1,36,81.3,0
Soda Story - Brewing Tycoon,2022-07-21,109,52,3,55,81.29,1
MORODASHI SUMO,2022-08-05,102,52,3,55,81.29,1
地牢100,2022-11-25,2197,1040,177,1217,81.28,22
CashGrab,2022-09-19,15,89,8,97,81.25,0
Kevin's Path to Wizdom,2022-12-08,5,25,0,25,81.25,0
Barold,2022-10-06,8,25,0,25,81.25,0
S-IN,2022-04-14,4,25,0,25,81.25,0
The Indigo Parallel,2022-11-24,7,25,0,25,81.25,0
Nachkriegsratten Punk-Rock Puzzle,2022-06-01,3,25,0,25,81.25,0
Candle Prick,2022-11-04,5,25,0,25,81.25,0
Hot“Sento Girls”and love,2022-09-01,7,25,0,25,81.25,0
Vactics,2022-06-22,4,25,0,25,81.25,0
One Many Nobody,2022-10-11,5,25,0,25,81.25,0
Board,2022-06-17,3,25,0,25,81.25,0
Hermea,2022-08-01,5,25,0,25,81.25,0
Interrogation Simulator,2022-10-31,4,25,0,25,81.25,0
럭키 스태미나,2022-08-27,6,25,0,25,81.25,1
Rocket Bot Royale,2022-04-20,394,527,82,609,81.24,11
HITMAN 3,2022-01-20,9043,10555,2137,12692,81.23,"2,508"
Sexy Mystic Survivors,2022-11-18,1551,872,146,1018,81.23,104
藏梦,2022-08-22,11,67,5,72,81.22,0
Pill Baby,2022-03-25,10,67,5,72,81.22,0
Hello Lady! - Complete Edition,2022-01-21,181,229,30,259,81.21,2
To Be A King - Volume 1,2022-09-30,134,109,11,120,81.19,15
Latex Dungeon,2022-03-15,490,541,85,626,81.18,12
连海CASINO,2022-09-30,30,74,6,80,81.18,0
Touhou: Fading Illusion,2022-12-05,14,74,6,80,81.18,1
Space Tail: Every Journey Leads Home,2022-11-03,52,59,4,63,81.17,0
Blast Beat,2022-01-13,7,43,2,45,81.17,0
Tomboy Adventure,2022-08-30,10,43,2,45,81.17,2
Oh! Edo Towns,2022-09-05,40,43,2,45,81.17,2
Democracy 4,2022-01-13,699,3657,703,4360,81.16,98
STRIDE,2022-06-10,142,1737,315,2052,81.16,1
The Tenants,2022-10-20,4583,4715,922,5637,81.15,238
Akai Katana Shin,2022-12-14,40,51,3,54,81.14,1
净化之径,2022-10-11,9,51,3,54,81.14,0
Forgotten Realms: The Archives - Collection One,2022-03-29,138,108,11,119,81.11,31
Moo Lander,2022-05-27,8,34,1,35,81.11,0
Super Mega Zero,2022-04-20,5,34,1,35,81.11,0
Lords of Ravage - Сhapter 1,2022-09-08,22,34,1,35,81.11,0
StickmanThug3D,2022-10-09,4,34,1,35,81.11,0
Maid for Loving You,2022-12-31,21,34,1,35,81.11,0
Q.U.B.E. 10th Anniversary,2022-09-14,29,66,5,71,81.1,2
Adorable Witch 3,2022-05-07,153,410,62,472,81.09,2
a pet shop after dark,2022-08-30,87,250,34,284,81.09,0
Venture Towns,2022-05-23,84,101,10,111,81.09,12
H-Isekai Loves,2022-02-11,897,1022,177,1199,81.07,3
Intruder In Antiquonia,2022-07-08,19,73,6,79,81.07,1
Sonority,2022-05-25,27,87,8,95,81.06,0
RUMBLE,2022-09-23,227,1175,207,1382,81.05,29
Motocross: Chasing the Dream,2022-08-30,29,80,7,87,81.05,0
College Craze,2022-08-03,24,80,7,87,81.05,3
Memory Traces: japan,2022-08-10,18,58,4,62,81.04,0
Miss Kawaii 2,2022-10-26,22,58,4,62,81.04,0
All Ashes and Illusions,2022-08-03,5,24,0,24,81.03,0
amazin' George 2,2022-01-24,2,24,0,24,81.03,0
Runner Party,2022-12-22,12,24,0,24,81.03,0
ASCIILL,2022-02-25,5,24,0,24,81.03,0
NinjaThea,2022-08-23,6,24,0,24,81.03,1
Hidden Shapes - Trick or Cats,2022-10-20,4,24,0,24,81.03,0
Pocket Witch,2022-10-27,4,24,0,24,81.03,0
Of Moons and Mania,2022-12-16,3,24,0,24,81.03,0
Ghostwire: Tokyo,2022-03-24,14086,10231,2102,12333,81.02,898
Project Lazarus,2022-06-23,752,893,153,1046,81.01,38
Tentacular,2022-03-24,20,50,3,53,81.0,0
Boys Tale,2022-02-11,9,50,3,53,81.0,0
Shores of Loci,2022-05-24,5,50,3,53,81.0,0
The Ditty of Carmeana,2022-04-16,10,42,2,44,81.0,0
Entangled,2022-07-07,9,42,2,44,81.0,0
Entangled,2022-07-07,9,42,2,44,81.0,0
Entangled,2022-07-07,9,42,2,44,81.0,0
Entangled,2021-09-03,3,18,0,18,79.39,0
Entangled,2021-09-03,3,18,0,18,79.39,0
Entangled,2021-09-03,3,18,0,18,79.39,0
Entangled,2018-09-12,3,5,0,5,70.84,0
Entangled,2018-09-12,3,5,0,5,70.84,0
Entangled,2018-09-12,3,5,0,5,70.84,0
Starcom: Unknown Space,2022-12-14,419,224,30,254,80.99,7
1428: Shadows over Silesia,2022-10-04,62,113,12,125,80.98,7
Dr. Chatelet: Faith 神医,2022-11-30,36,65,5,70,80.98,0
Remnant Records,2022-07-19,133,253,35,288,80.97,12
IT Simulator,2022-06-01,12,86,8,94,80.96,2
The Backrooms 1998 - Found Footage Backroom Survival Horror Game,2022-05-25,60,529,85,614,80.92,1
PogoChamp,2022-05-26,8,33,1,34,80.92,0
Togges,2022-12-07,8,33,1,34,80.92,1
Tear Factory,2022-10-03,2,33,1,34,80.92,0
Hole in the Clouds,2022-08-26,6,33,1,34,80.92,0
Pentagons Go WEEE,2022-03-31,6,33,1,34,80.92,0
Thrill Penguin,2022-06-29,6,33,1,34,80.92,0
Reimus Awesome Holiday,2022-10-06,6,33,1,34,80.92,0
Bughouse,2022-07-14,9,112,12,124,80.9,0
Pirates: Golden tits chapter 1,2022-09-29,29,57,4,61,80.9,6
Dwarven Realms,2022-12-16,157,222,30,252,80.89,13
Persona 4 Arena Ultimax,2022-03-17,7099,2281,434,2715,80.87,70
Coffee Shop Tycoon,2022-12-19,113,456,72,528,80.86,8
HunterX,2022-04-29,141,352,53,405,80.86,9
Project R4T,2022-12-16,12,105,11,116,80.86,0
Hands of Necromancy,2022-06-20,12,85,8,93,80.85,2
Air Traffic: Greenlight,2022-02-04,18,64,5,69,80.85,5
Mister Furry,2022-12-16,36,318,47,365,80.84,5
剑与桃花,2022-07-22,7,49,3,52,80.84,0
Asian Truck Simulator,2022-09-09,7,49,3,52,80.84,0
Blood Wizard Odyssey,2022-12-12,9,49,3,52,80.84,0
クレヨンしんちゃん「オラと博士の夏休み」～おわらない七日間の旅～,2022-08-31,139,155,19,174,80.83,0
girl agent,2022-03-29,7,41,2,43,80.83,0
Super Lone Survivor,2022-10-31,15,41,2,43,80.83,0
Exodemic,2022-07-08,28,41,2,43,80.83,0
Wolfenstein: Enemy Territory,2022-04-26,577,1244,225,1469,80.82,44
