game,release,peak_players,positive_reviews,negative_reviews,total_reviews,rating,players_right_now
Truxton,2023-02-14,30,40,0,40,83.65,1
Slobbish Dragon Princess 3,2023-03-14,15,40,0,40,83.65,1
Into The Flames,2023-01-10,212,755,97,852,83.55,28
Children of Silentown,2023-01-11,285,365,40,405,83.54,20
Have a Nice Death,2023-03-22,2510,5917,959,6876,83.53,"1,202"
See You Later,2023-02-14,10,51,1,52,83.53,0
Misericorde: Volume One,2023-03-24,17,39,0,39,83.53,0
Miniland Adventure: Prologue,2023-03-13,525,303,32,335,83.43,21
Future Radio,2023-02-17,97,142,11,153,83.41,2
Conjury Revell,2023-02-07,25,125,9,134,83.4,0
Rising Front,2023-01-14,663,860,115,975,83.39,36
West Hunt,2023-03-23,449,662,85,747,83.35,78
Zombie Admin,2023-01-13,8,49,1,50,83.3,1
My Girlfriend’s Special Place,2023-03-13,15,49,1,50,83.3,1
A War of a Madman's Making,2023-01-15,10,37,0,37,83.27,0
Helpless,2023-03-10,34,88,5,93,83.26,3
Siege of Dungeon,2023-01-12,95,155,13,168,83.24,12
GunSuit Guardians,2023-03-31,85,59,2,61,83.23,25
Diary of Lucie,2023-02-24,156,296,32,328,83.21,22
MINDHACK,2023-04-05,195,48,1,49,83.19,36
Phantom Tentacle,2023-03-31,19,337,38,375,83.18,1
TitTok Kitty,2023-02-14,6,36,0,36,83.14,0
Ghostland Yard,2023-03-28,16,36,0,36,83.14,2
Interior Worlds,2023-04-07,35,36,0,36,83.14,9
I commissioned some bunnies,2023-01-26,11,36,0,36,83.14,1
Life After Magic,2023-03-23,16,36,0,36,83.14,1
Flashback,2023-02-20,119,153,13,166,83.13,7
Flashback,2023-02-20,119,153,13,166,83.13,14
Flashback,2023-02-20,119,153,13,166,83.13,0
Flashback,2019-02-28,41,326,77,403,75.82,7
Flashback,2019-02-28,41,326,77,403,75.82,14
Flashback,2019-02-28,41,326,77,403,75.82,0
Flashback,2013-10-01,236,275,200,475,56.66,7
Flashback,2013-10-01,236,275,200,475,56.66,14
Flashback,2013-10-01,236,275,200,475,56.66,0
銀斧 The Honest Elf,2023-03-05,17,58,2,60,83.13,1
Swords and Sandals Immortals,2023-03-09,326,652,86,738,83.1,36
Ogu and the Secret Forest,2023-03-24,235,120,9,129,83.08,34
Neptunia: Sisters VS Sisters,2023-01-24,417,374,44,418,83.06,17
The Missing Parts of Maria Gwozdek,2023-02-10,12,57,2,59,83.02,0
LoFi Hotel,2023-02-04,6,35,0,35,83.0,0
Physical Layer,2023-03-16,43,35,0,35,83.0,1
Broken Universe - Tower Defense,2023-02-05,387,210,21,231,82.97,14
Dread Templar,2023-01-26,159,837,117,954,82.95,8
YOLKED,2023-04-06,8,46,1,47,82.95,0
Veil of Dust: A Homesteading Game,2023-04-02,14,46,1,47,82.95,0
DESTRUCTURE: Among Debris,2023-02-27,15,46,1,47,82.95,3
Rich Lady's Slave Role Play,2023-03-16,68,75,4,79,82.92,5
Absinthia,2023-03-13,12,34,0,34,82.85,1
XXX_CYBERRAT_XXX,2023-02-20,37,74,4,78,82.83,4
Netherguild,2023-03-27,21,45,1,46,82.82,1
Yggdra Union,2023-02-07,118,91,6,97,82.79,10
Song Of The Prairie,2023-04-07,927,154,14,168,82.77,567
大侠立志传,2023-03-08,28936,5218,898,6116,82.76,"4,563"
HITLER: BDSM BUNKER,2023-02-11,403,90,6,96,82.71,1
Finnish Army Simulator,2023-01-13,456,287,33,320,82.7,12
DARK NIGHT WITH FLOPPA,2023-01-06,12,239,26,265,82.7,0
Stuffo the Puzzle Bot,2023-03-02,9,33,0,33,82.7,1
Low Oxygen,2023-03-16,46,63,3,66,82.63,5
WW2 Rebuilder,2023-01-16,1219,608,84,692,82.58,29
Alien maze,2023-02-10,20,143,13,156,82.57,0
枪神出击,2023-01-30,490,43,1,44,82.55,4
Awakened Evil,2023-01-30,6,32,0,32,82.55,0
The Pyramid Of Bones,2023-02-14,16,32,0,32,82.55,0
乱世无双,2023-03-08,24,71,4,75,82.54,5
Full Metal Sergeant,2023-04-03,151,52,2,54,82.44,13
Spiritfall,2023-04-03,587,259,30,289,82.43,85
Berry People,2023-02-14,11,61,3,64,82.42,0
